"CustomerKey","GeographyKey","CustomerAlternateKey","Title","FirstName","MiddleName","LastName","NameStyle","BirthDate","MaritalStatus","Suffix","Gender","EmailAddress","YearlyIncome","TotalChildren","NumberChildrenAtHome","EnglishEducation","SpanishEducation","FrenchEducation","EnglishOccupation","SpanishOccupation","FrenchOccupation","HouseOwnerFlag","NumberCarsOwned","AddressLine1","AddressLine2","Phone","DateFirstPurchase","CommuteDistance"
"11041","325","AW00011041","","Amanda","M","Carter","False","1977-10-16","M","","F","amanda53@adventure-works.com","60000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","5826 Escobar","","295-555-0145","2007-07-18","1-2 Miles"
"11042","338","AW00011042","","Megan","J","Sanchez","False","1977-06-13","M","","F","megan28@adventure-works.com","70000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","1397 Paraiso Ct.","","404-555-0199","2007-07-25","0-1 Miles"
"11043","325","AW00011043","","Nathan","M","Simmons","False","1976-02-24","M","","M","nathan11@adventure-works.com","60000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","1170 Shaw Rd","","296-555-0181","2007-11-09","5-10 Miles"
"11044","25","AW00011044","","Adam","L","Flores","False","1949-05-24","M","","M","adam10@adventure-works.com","20000","2","1","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","6935 Candle Dr","","1 (11) 500 555-0163","2005-08-31","1-2 Miles"
"11045","8","AW00011045","","Leonard","G","Nara","False","1950-05-19","S","","M","leonard18@adventure-works.com","30000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","7466 La Vista Ave.","","1 (11) 500 555-0151","2007-10-12","1-2 Miles"
"11046","6","AW00011046","","Christine","","Yuan","False","1950-03-22","M","","F","christine4@adventure-works.com","30000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2356 Orange St","","1 (11) 500 555-0113","2005-08-09","5-10 Miles"
"11047","34","AW00011047","","Jaclyn","D","Lu","False","1950-02-27","M","","F","jaclyn12@adventure-works.com","30000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","2812 Mazatlan","","1 (11) 500 555-0137","2005-08-06","1-2 Miles"
"11048","39","AW00011048","","Jeremy","","Powell","False","1950-11-22","M","","M","jeremy26@adventure-works.com","30000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","1803 Potomac Dr.","","1 (11) 500 555-0183","2005-08-13","5-10 Miles"
"11049","307","AW00011049","","Carol","C","Rai","False","1980-07-18","S","","F","carol8@adventure-works.com","40000","0","0","Partial High School","Educación secundaria (en curso)","Niveau bac","Clerical","Administrativo","Employé","1","2","6064 Madrid","","654-555-0180","2007-09-10","5-10 Miles"
"11050","31","AW00011050","","Alan","","Zheng","False","1951-09-07","M","","M","alan23@adventure-works.com","30000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2741 Gainborough Dr.","","1 (11) 500 555-0135","2005-08-23","5-10 Miles"
"11051","21","AW00011051","","Daniel","","Johnson","False","1951-08-04","S","","M","daniel18@adventure-works.com","30000","3","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","8085 Sunnyvale Avenue","","1 (11) 500 555-0155","2008-07-01","1-2 Miles"
"11052","8","AW00011052","","Heidi","","Lopez","False","1951-08-07","S","","F","heidi19@adventure-works.com","40000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Clerical","Administrativo","Employé","0","2","2514 Via Cordona","","1 (11) 500 555-0168","2005-08-20","5-10 Miles"
"11053","359","AW00011053","","Ana","E","Price","False","1980-08-20","M","","F","ana0@adventure-works.com","60000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","2","1660 Stonyhill Circle","","859-555-0113","2007-07-21","1-2 Miles"
"11054","34","AW00011054","","Deanna","","Munoz","False","1952-03-10","M","","F","deanna33@adventure-works.com","40000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","5825 B Way","","1 (11) 500 555-0192","2005-08-06","5-10 Miles"
"11055","22","AW00011055","","Gilbert","","Raje","False","1952-03-05","M","","M","gilbert35@adventure-works.com","40000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8811 The Trees Dr.","","1 (11) 500 555-0129","2005-08-03","5-10 Miles"
"11056","10","AW00011056","","Michele","L","Nath","False","1953-04-03","M","","F","michele19@adventure-works.com","40000","3","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","5464 Janin Pl.","","1 (11) 500 555-0178","2005-08-29","5-10 Miles"
"11057","5","AW00011057","","Carl","J","Andersen","False","1953-10-12","M","","M","carl12@adventure-works.com","70000","2","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","2","6930 Lake Nadine Place","","1 (11) 500 555-0181","2005-08-25","1-2 Miles"
"11058","29","AW00011058","","Marc","","Diaz","False","1954-04-27","M","","M","marc6@adventure-works.com","80000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","6645 Sinaloa","","1 (11) 500 555-0149","2005-09-09","1-2 Miles"
"11059","27","AW00011059","","Ashlee","J","Andersen","False","1954-04-01","S","","F","ashlee19@adventure-works.com","80000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8255 Highland Road","","1 (11) 500 555-0112","2007-08-22","5-10 Miles"
"11060","40","AW00011060","","Jon","L","Zhou","False","1954-03-17","M","","M","jon28@adventure-works.com","80000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","6574 Hemlock Ave.","","1 (11) 500 555-0174","2005-09-19","5-10 Miles"
"11061","23","AW00011061","","Todd","M","Gao","False","1954-02-27","M","","M","todd14@adventure-works.com","80000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","2","8808 Geneva Ave","","1 (11) 500 555-0191","2005-09-13","5-10 Miles"
"11062","547","AW00011062","","Noah","D","Powell","False","1975-09-02","M","","M","noah5@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","9794 Marion Ct","","767-555-0113","2007-07-11","5-10 Miles"
"11063","634","AW00011063","","Angela","","Murphy","False","1975-04-07","S","","F","angela41@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","4927 Virgil Street","# 21","451-555-0162","2007-07-16","5-10 Miles"
"11064","315","AW00011064","","Chase","","Reed","False","1975-12-07","M","","M","chase21@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2721 Alexander Pl.","","892-555-0184","2007-07-29","5-10 Miles"
"11065","331","AW00011065","","Jessica","","Henderson","False","1973-10-09","M","","F","jessica29@adventure-works.com","60000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","2","9343 Ironwood Way","","278-555-0186","2007-08-14","1-2 Miles"
"11066","543","AW00011066","","Grace","T","Butler","False","1973-11-27","M","","F","grace62@adventure-works.com","70000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","2","4739 Garden Ave.","","712-555-0141","2007-12-02","5-10 Miles"
"11067","632","AW00011067","","Caleb","F","Carter","False","1976-09-25","S","","M","caleb40@adventure-works.com","60000","0","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","2","9563 Pennsylvania Blvd.","","944-555-0167","2008-02-19","5-10 Miles"
"11068","40","AW00011068","","Tiffany","","Liang","False","1955-09-23","S","","F","tiffany17@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","3608 Sinclair Avenue","# 701","1 (11) 500 555-0177","2007-11-01","5-10 Miles"
"11069","23","AW00011069","","Carolyn","","Navarro","False","1955-09-21","S","","F","carolyn30@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","4606 Springwood Court","","1 (11) 500 555-0145","2005-10-18","1-2 Miles"
"11070","39","AW00011070","","Willie","T","Raji","False","1955-04-05","M","","M","willie40@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","6260 Vernal Drive","","1 (11) 500 555-0151","2005-10-29","5-10 Miles"
"11071","24","AW00011071","","Linda","","Serrano","False","1955-06-26","S","","F","linda31@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","9808 Shaw Rd.","","1 (11) 500 555-0130","2007-09-02","5-10 Miles"
"11072","17","AW00011072","","Casey","","Luo","False","1955-02-06","S","","F","casey6@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","0","2","9513 Roslyn Drive","","1 (11) 500 555-0125","2005-10-01","1-2 Miles"
"11073","16","AW00011073","","Amy","","Ye","False","1956-08-14","S","","F","amy16@adventure-works.com","70000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","2262 Kirkwood Ct.","","1 (11) 500 555-0185","2007-09-24","5-10 Miles"
"11074","28","AW00011074","","Levi","A","Arun","False","1956-08-28","S","","M","levi6@adventure-works.com","70000","2","0","High School","Educación secundaria","Bac + 2","Skilled Manual","Obrero especializado","Technicien","1","2","4661 Bluetail","","1 (11) 500 555-0127","2007-09-24","5-10 Miles"
"11075","32","AW00011075","","Felicia","L","Jimenez","False","1957-11-16","S","","F","felicia4@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","1","2","786 Eastgate Ave","","1 (11) 500 555-0165","2005-10-29","5-10 Miles"
"11076","19","AW00011076","","Blake","","Anderson","False","1957-07-13","S","","M","blake9@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","1","2","5436 Clear","# 101","1 (11) 500 555-0113","2005-10-22","5-10 Miles"
"11077","36","AW00011077","","Leah","","Ye","False","1957-09-19","S","","F","leah7@adventure-works.com","80000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","0","2","1291 Arguello Blvd.","","1 (11) 500 555-0154","2005-10-16","1-2 Miles"
"11078","49","AW00011078","","Gina","E","Martin","False","1974-01-10","S","","F","gina1@adventure-works.com","40000","0","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","0","2","1349 Sol St.","","196-555-0114","2007-08-19","1-2 Miles"
"11079","34","AW00011079","","Donald","","Gonzalez","False","1959-03-11","S","","M","donald20@adventure-works.com","160000","0","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","2","4236 Malibu Place","","1 (11) 500 555-0137","2007-09-16","0-1 Miles"
"11080","30","AW00011080","","Damien","","Chander","False","1959-07-17","M","","M","damien32@adventure-works.com","170000","0","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","2","9941 Stonehedge Dr.","","1 (11) 500 555-0111","2005-10-11","0-1 Miles"
"11081","311","AW00011081","","Savannah","C","Baker","False","1966-07-24","M","","F","savannah39@adventure-works.com","120000","2","2","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","3","1210 Trafalgar Circle","","478-555-0117","2007-08-16","2-5 Miles"
"11082","322","AW00011082","","Angela","L","Butler","False","1966-08-04","S","","F","angela17@adventure-works.com","130000","0","1","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","0","3","6040 Listing Ct","","579-555-0195","2007-07-26","1-2 Miles"
"11083","336","AW00011083","","Alyssa","F","Cox","False","1966-03-15","M","","F","alyssa37@adventure-works.com","130000","0","1","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","3","867 La Orinda Place","","561-555-0140","2007-07-10","1-2 Miles"
"11084","543","AW00011084","","Lucas","","Phillips","False","1957-09-12","S","","M","lucas7@adventure-works.com","80000","2","0","Partial High School","Educación secundaria (en curso)","Niveau bac","Skilled Manual","Obrero especializado","Technicien","0","2","8668 St. Celestine Court","","863-555-0172","2007-07-08","1-2 Miles"
"11085","345","AW00011085","","Emily","","Johnson","False","1957-07-19","S","","F","emily1@adventure-works.com","60000","2","0","High School","Educación secundaria","Bac + 2","Professional","Profesional","Cadre","0","2","7926 Stephanie Way","","850-555-0184","2008-06-08","5-10 Miles"
"11086","369","AW00011086","","Ryan","","Brown","False","1957-12-23","M","","M","ryan43@adventure-works.com","70000","2","1","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","0","2939 Wesley Ct.","","539-555-0198","2008-01-03","0-1 Miles"
"11087","307","AW00011087","","Tamara","L","Liang","False","1957-10-03","M","","F","tamara6@adventure-works.com","70000","3","2","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","0","0","3791 Rossmor Parkway","","178-555-0152","2007-08-29","0-1 Miles"
"11088","359","AW00011088","","Hunter","","Davis","False","1957-11-25","M","","M","hunter64@adventure-works.com","80000","2","1","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","0","4308 Sand Pointe Lane","","612-555-0141","2007-07-17","2-5 Miles"
"11089","337","AW00011089","","Abigail","M","Price","False","1957-02-05","S","","F","abigail25@adventure-works.com","80000","2","1","Bachelors","Licenciatura","Bac + 4","Management","Gestión","Direction","1","1","2685 Blackburn Ct","","532-555-0117","2007-07-02","2-5 Miles"
"11090","338","AW00011090","","Trevor","","Bryant","False","1957-12-17","S","","M","trevor18@adventure-works.com","90000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","1","5781 Sharon Dr.","","853-555-0174","2006-02-07","2-5 Miles"
"11091","50","AW00011091","","Dalton","","Perez","False","1957-04-04","M","","M","dalton37@adventure-works.com","90000","2","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Professional","Profesional","Cadre","1","1","6083 San Jose","","559-555-0115","2007-08-02","5-10 Miles"
"11092","22","AW00011092","","Cheryl","A","Diaz","False","1967-05-06","M","","F","cheryl4@adventure-works.com","90000","2","2","Bachelors","Licenciatura","Bac + 4","Professional","Profesional","Cadre","1","0","7297 Kaywood Drive","","1 (11) 500 555-0192","2005-10-09","1-2 Miles"
"11093","19","AW00011093","","Aimee","A","He","False","1967-09-10","M","","F","aimee13@adventure-works.com","100000","0","0","Graduate Degree","Estudios de postgrado","Bac + 3","Management","Gestión","Direction","1","0","1833 Olympic Drive","","1 (11) 500 555-0161","2005-10-08","0-1 Miles"
"11094","33","AW00011094","","Cedric","W","Ma","False","1962-04-01","S","","M","cedric15@adventure-works.com","70000","1","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","0","1","3407 Oak Brook Place","","1 (11) 500 555-0115","2007-10-09","0-1 Miles"
"11095","13","AW00011095","","Chad","","Kumar","False","1962-09-01","S","","M","chad9@adventure-works.com","70000","1","0","Partial College","Estudios universitarios (en curso)","Baccalauréat","Skilled Manual","Obrero especializado","Technicien","1","1","1681 Lighthouse Way","","1 (11) 500 555-0151","2005-10-02","5-10 Miles"
